FEATUREID	huc10	AreaSqKM	summer_prcp_mm	mean_jul_temp	forest	allonnet	devel_hi	agriculture	occ_current	occ_air_2	occ_air_4	occ_air_6
201472203	0107000614	2.673	277.9718	21.0334	19.339	6.39731	0.16835	12.2896	0.43292	0.06463	0.00622	0.00057
201472235	0109000101	1.8054	283.5559	21.4834	1.04167	45.2642	0	7.57727	0.02535	0.00429	0.00071	0.00012
201472240	0109000101	15.2163	283.185	20.7851	21.4666	12.8053	4.63713	12.6811	0.04691	0.00744	0.00114	0.00017
201472249	0109000101	17.6967	282.992	20.7345	26.5931	12.7346	4.02278	11.57	0.05024	0.00779	0.00116	0.00017
201472250	0109000101	0.7884	280.7309	20.0034	48.7903	10.0457	2.05479	6.27854	0.13921	0.02074	0.00277	0.00036
201472253	0109000101	0.7812	282.0616	19.4854	76.5	5.18433	0	0.230415	0.28608	0.04347	0.00513	0.00058
201472254	0109000101	2.4687	281.8084	20.0826	52.6515	12.3587	0.255195	4.77579	0.14316	0.02092	0.00273	0.00035
201472269	0107000614	12718.7	301.063		69.7955	8.60894	0.911665	4.45315				
201472270	0107000614	0.9342	283.961	20.4274	35.8156	1.15607	0	22.2543	0.41120	0.05554	0.00493	0.00042
201472285	0109000101	1.8315	276.9063	21.4899	2.53807	0.04914	0	2.40786	0.14447	0.02668	0.00443	0.00072
201472288	0109000101	2.0385	282.648	21.0087	15.5556	6.88742	0	9.80132	0.10520	0.01771	0.00276	0.00042
201472337	0107000614	12.186	283.3356	19.5591	77.5205	7.33383	0.0369276	10.8567	0.69180	0.13279	0.01034	0.00071
201472338	0107000614	1.2816	283.5562	20.126	45.7547	0	2.31742	10.323	0.62570	0.11789	0.01057	0.00085
201472347	0109000101	18.9999	282.8403	20.7334	28.044	12.278	3.83213	11.0369	0.05168	0.00796	0.00118	0.00017
201472348	0109000101	1.7811	280.0649	20.0232	40.5405	4.74987	0	25.1642	0.11363	0.01733	0.00242	0.00033
201472354	0107000614	13.5081	283.3568	19.6896	74.6094	6.68932	0.253181	10.7735	0.65000	0.11372	0.00879	0.00061
201472355	0107000614	16.5258	284.0762	20.496	48.4771	16.4089	0.0490143	13.6532	0.30884	0.03464	0.00287	0.00023
201472356	0109000101	3.9213	276.3427	21.5619	1.26582	0.0230203	0	1.12463	0.14524	0.02695	0.00449	0.00073
201472359	0109000101	5.7591	276.5627	21.4741	2.85529	0.0156593	0	4.5007	0.13358	0.02435	0.00402	0.00065
201472365	0109000101	1.4697	281.7287	20.2903	43.75	16.9014	0	7.34844	0.10688	0.01575	0.00214	0.00029
201472375	0109000101	1.8135	277.0458	21.1502	8.33333	0	0	11.861	0.12480	0.02216	0.00359	0.00057
201472391	0109000101	1.4085	279.1075	20.9546	10.6742	0.447284	0	18.7859	0.10869	0.01890	0.00303	0.00048
201472401	0109000101	21.2904	282.5435	20.7649	28.7136	11.3544	3.41985	11.9547	0.05090	0.00780	0.00115	0.00017
201472402	0107000614	5.6106	284.1169	19.3844	74.216	8.58197	0	20.6769	0.61678	0.10145	0.00786	0.00056
201472408	0107000614	7.1559	283.6761	20.2944	51.4459	20.2113	0.113193	13.2688	0.35746	0.04183	0.00341	0.00027
201472414	0107000614	3.7521	284.1439	19.2326	80.5293	12.2092	0	18.4936	0.66072	0.11699	0.00893	0.00061
201472415	0107000614	2.9979	283.6972	20.059	56.8182	20.6244	0.270189	11.2879	0.45834	0.06032	0.00485	0.00037
201472431	0107000614	1.3293	281.7359	20.3092	26.7176	4.46852	13.2701	0.270819	0.43520	0.06474	0.00618	0.00056
201472442	0107000614	16.569	283.3084	19.8532	71.3355	7.54481	0.271592	9.66866	0.60320	0.09644	0.00744	0.00053
201472443	0107000614	1.1349	283.4726	18.4344	95.2381	11.5781	1.26883	34.8929	0.65123	0.10790	0.00777	0.00051
201472453	0107000614	1.7361	282.6707	19.1933	81.7942	8.24261	0.155521	12.9601	0.78105	0.19318	0.01581	0.00108
201472454	0107000614	2.2968	283.0457	20.485	41.4791	8.77743	0.470219	5.13323	0.57598	0.09895	0.00880	0.00072
201472465	0107000614	4.2282	280.8363	19.2931	87.2922	2.38399	0.149	8.08855	0.82532	0.23416	0.01941	0.00128
201472475	0107000614	2.0907	280.8033	18.9666	92.5581	2.75506	0	9.21223	0.88222	0.32200	0.02923	0.00191
201472476	0107000614	0.9288	282.0714	19.1166	95.6938	21.3178	0	0	0.83617	0.24033	0.01923	0.00121
201472477	0107000614	10.8891	282.5933	20.6533	43.0267	18.4891	0.487644	5.69469	0.38971	0.04948	0.00423	0.00035
201472478	0109000101	2.124	274.0804	21.5958	0	0.384287	0	0	0.15207	0.02858	0.00481	0.00079
201472485	0107000614	8.5059	282.5956	20.9358	32.5485	21.9448	0.59253	4.06306	0.33670	0.04168	0.00371	0.00032
201472486	0107000614	1.9971	282.8169	19.9881	56.305	11.3114	0.315457	9.64398	0.61039	0.10596	0.00888	0.00068
201472495	0107000614	12716.3	301.066		69.8082	8.61015	0.911832	4.44937				
201472496	0109000101	25.4115	281.9545	20.9145	25.4866	9.53781	2.86524	11.8647	0.05190	0.00804	0.00120	0.00018
201472497	0109000101	160.2	281.2092	22.5895	61.0916	12.6354	0.694382	7.42135	0.00205	0.00028	0.00004	0.00001
201472513	0107000614	1.7802	280.7777	18.9845	94.822	1.56724	0	5.66229	0.90318	0.36814	0.03512	0.00227
201472528	0107000614	0.8199	283.3403	20.0814	58.3333	0.109769	0	6.69594	0.70811	0.15288	0.01325	0.00100
201472532	0107000614	3.9438	283.639	20.2665	47.8166	19.0096	0	15.2214	0.37401	0.04536	0.00376	0.00030
201472552	0109000101	0.9774	283.2861	19.2673	84.322	13.4438	0	0	0.26703	0.03830	0.00434	0.00048
201472582	0109000101	2.5263	280.6832	20.971	17.0673	1.85251	0	11.1151	0.11872	0.02008	0.00311	0.00047
201472589	0107000614	55.3356	281.8908	20.599	70.07	8.39893	1.26049	3.57491	0.30601	0.03027	0.00221	0.00016
201472600	0109000101	1.9566	283.4776	19.605	57.3494	14.9954	0	22.9071	0.11108	0.01561	0.00201	0.00026
201472603	0109000101	4.8132	276.8097	21.4826	1.84372	0	0	7.34854	0.12122	0.02200	0.00366	0.00060
201472628	0109000101	0.8973	276.5275	21.2983	6.40244	0	0	8.32498	0.12839	0.02304	0.00376	0.00060
201472636	0107000614	6.0822	282.5311	21.1652	23.64	26.5611	0.725067	2.01243	0.29878	0.03665	0.00338	0.00030
201472637	0109000101	2.0979	283.2114	19.2774	76.8041	5.36251	0	11.0682	0.25076	0.03684	0.00435	0.00050
201472638	0109000101	3.1617	277.097	21.4907	0	0	0	8.82437	0.11893	0.02179	0.00366	0.00061
201472642	0107000614	2.8467	280.837	19.7757	59.6349	6.19665	0.632311	18.0841	0.58428	0.09542	0.00786	0.00059
201472647	0107000614	12712.5	301.0707		69.8207	8.61236	0.912021	4.44437				
201472650	0107000614	1.1673	283.1958	20.1088	49.7207	1.38782	1.69622	11.3338	0.60485	0.10713	0.00931	0.00074
201472651	0109000101	134.064	281.0882	22.0765	66.845	13.2895	0.279941	6.57156	0.00411	0.00054	0.00007	0.00001
201472653	0107000614	1.0215	282.7844	21.1873	10.6195	23.4361	3.43612	4.40529	0.27827	0.03531	0.00346	0.00033
201472654	0109000101	2.043	283.0307	19.2256	85.9316	16.9604	0	1.10132	0.23874	0.03298	0.00369	0.00040
201472655	0109000101	84.7809	282.0247	21.2289	65.4045	13.5381	0.234605	7.03177	0.01645	0.00213	0.00027	0.00003
201472658	0107000614	2.9043	282.5971	21.0835	23.5537	33.1267	1.23954	2.07623	0.26594	0.03123	0.00286	0.00026
201472668	0107000614	59.7843	281.8308	20.6883	69.4511	8.36256	1.3353	4.16999	0.26118	0.02451	0.00178	0.00013
201472672	0107000614	1.0647	282.281	21.117	22.5108	21.4708	0.338123	1.35249	0.39553	0.05471	0.00509	0.00045
201472673	0107000614	19.9557	283.2977	19.9259	70.8105	8.11347	0.297659	11.1036	0.53832	0.07606	0.00578	0.00041
201472678	0107000614	1.413	282.8053	19.9448	49.7024	0.0636943	0	25.7325	0.49535	0.07203	0.00610	0.00049
201472692	0107000611	2.3715	279.6054	20.1147	49.5868	2.9222	0	12.9412	0.32575	0.06405	0.00960	0.00137
201472693	0107000614	61.8264	281.814	21.4953	69.1322	8.30179	1.3436	4.08612	0.07376	0.00503	0.00032	0.00002
201472694	0107000614	14.6763	282.4506	20.66	46.7785	15.8827	0.65616	4.51953	0.39780	0.05022	0.00421	0.00034
201472702	0109000101	80.5077	282.1118	21.1009	67.7644	14.1706	0.247057	6.97014	0.01841	0.00237	0.00030	0.00004
201472705	0107000614	22.1346	283.2525	20.0376	68.5146	7.53842	0.268358	12.5112	0.47860	0.06149	0.00465	0.00033
201472706	0107000614	12710	301.0746		69.8295	8.61389	0.912042	4.44283				
201472707	0109000101	5.922	282.7745	19.9809	76.2449	8.82979	0	6.06383	0.11103	0.01216	0.00121	0.00012
201472712	0107000614	1.1097	281.1619	20.4061	44.8649	2.02758	2.91971	3.00081	0.61679	0.11386	0.01015	0.00082
201472713	0107000614	1.3149	282.4829	20.6977	39.5349	31.0746	0.0684463	1.16359	0.38610	0.04875	0.00416	0.00034
201472715	0109000101	1.026	275.3371	21.6239	0	0	0	0	0.14849	0.02783	0.00468	0.00077
201472717	0107000611	1.44	279.5054	19.0249	94.4954	21.1875	0	5.8125	0.39511	0.06897	0.00833	0.00095
201472718	0109000101	47.232	279.5206	20.4127	70.6938	13.4204	0.373476	5.88796	0.05065	0.00642	0.00078	0.00009
201472735	0107000614	76.842	281.935	21.1923	65.1292	9.74818	1.20989	4.17545	0.12262	0.01020	0.00076	0.00006
201472736	0107000614	0.8883	281.9671	18.8308	100	1.72239	4.05268	0	0.90500	0.36916	0.03470	0.00220
201472751	0107000614	12687.1	301.1069		69.8364	8.61629	0.91322	4.42783				
201472760	0107000611	7.7121	279.1989	20.2196	54.9042	12.8253	0	6.94363	0.25834	0.04589	0.00660	0.00092
201472802	0109000101	44.5554	279.5898	20.3117	73.0797	14.2064	0.395912	5.68012	0.05457	0.00688	0.00083	0.00010
201472803	0109000101	2.2572	278.2492	21.1615	10.9589	0.398724	0	11.0845	0.11684	0.02032	0.00324	0.00051
201472807	0109000101	69.1209	282.1247	20.8437	71.575	15.6899	0.265622	6.85017	0.02365	0.00301	0.00038	0.00005
201472815	0109000101	1.5624	282.3885	19.8521	56.4103	4.89631	0	12.5	0.17029	0.02524	0.00326	0.00041
201472816	0109000101	66.9213	282.1532	20.8005	72.7972	15.7457	0.2488	6.81173	0.02459	0.00311	0.00039	0.00005
201472817	0109000101	71.4609	282.0962	20.9614	69.2159	15.2265	0.278334	6.80218	0.02136	0.00274	0.00035	0.00004
201472826	0109000101	1.1493	283.0635	19.39	73.4043	5.95145	0	8.45732	0.24979	0.03717	0.00446	0.00052
201472829	0109000101	1.9782	282.9232	19.6029	61.0169	18.4713	0	20.2002	0.10335	0.01416	0.00179	0.00022
201472836	0109000101	28.1718	276.4529	20.5286	48.6045	8.86986	0.261964	9.35403	0.07545	0.01060	0.00140	0.00018
201472841	0107000614	1.6902	282.8491	20.652	35.363	4.57934	0.319489	10.3301	0.49489	0.07569	0.00680	0.00057
201472844	0107000614	6.1011	280.1744	20.1369	55.7461	13.6746	0.265526	7.33146	0.58138	0.09547	0.00796	0.00061
201472845	0107000614	1.656	280.793	20.3	28.3237	5.97826	5.38043	24.4565	0.28042	0.03356	0.00308	0.00028
201472855	0109000101	8.8722	283.2644	19.5533	70.121	20.4301	0	15.4392	0.10544	0.01396	0.00170	0.00020
201472864	0109000101	1.1853	280.8078	20.0478	49.8507	3.03721	0.911162	10.6302	0.15451	0.02324	0.00309	0.00040
201472867	0107000614	12685.2	301.1096		69.8458	8.61697	0.913314	4.42694				
201472868	0107000614	1.6722	282.5567	20.3312	40.4706	1.45318	1.507	19.5371	0.42727	0.05798	0.00505	0.00042
201472878	0107000614	8.0064	280.3097	20.2934	51.382	12.1403	1.38264	10.6452	0.45129	0.06034	0.00499	0.00039
201472885	0107000614	3.7224	279.6692	20.0256	59.5402	10.6867	0.217602	8.60735	0.61920	0.10797	0.00893	0.00067
201472886	0109000101	3.3336	276.8735	21.076	13.8138	1.2419	0	11.7711	0.11396	0.01950	0.00306	0.00048
201472889	0109000101	44.6949	282.0365	20.3692	73.0538	16.7053	0.293993	5.12273	0.04954	0.00630	0.00077	0.00009
201472892	0107000611	137.129	278.0562	22.5354	56.6188	12.5166	0.587401	5.25708	0.00851	0.00125	0.00018	0.00003
201472896	0109000101	56.7873	282.2531	20.5698	73.393	16.7916	0.253578	6.60412	0.03381	0.00429	0.00053	0.00007
201472897	0109000101	65.1906	282.1486	20.7643	73.4204	16.0463	0.255405	6.61568	0.02555	0.00323	0.00040	0.00005
201472905	0109000101	3.5181	282.9661	19.5605	67.7239	15.0678	0	14.1213	0.13729	0.01877	0.00229	0.00028
201472906	0109000101	5.7537	282.8524	19.5024	75.6442	19.4431	0.0782105	9.08807	0.13483	0.01773	0.00209	0.00024
201472907	0109000101	2.0016	273.0212	21.607	0	0	0	0	0.15302	0.02879	0.00484	0.00080
201472912	0107000611	0.9315	278.2014	19.6406	64.7727	8.11594	3.38164	5.31401	0.34064	0.06384	0.00892	0.00119
201472913	0107000614	11.8575	280.1109	20.3592	53.9033	11.704	1.02467	9.88994	0.43294	0.05557	0.00451	0.00035
201472917	0107000614	81.6291	281.9212	21.1826	64.0446	9.19856	2.13123	3.95484	0.11566	0.00959	0.00072	0.00005
201472922	0107000614	1.872	280.803	20.812	31.8182	3.79808	3.41346	0	0.54880	0.09365	0.00870	0.00075
201472928	0109000101	1.4724	280.9428	20.0803	50.4087	20.9046	1.16137	6.90709	0.09359	0.01324	0.00174	0.00023
201472942	0109000101	2.1231	275.2621	21.6363	0.373832	0	0	0.932599	0.13956	0.02589	0.00434	0.00071
201472949	0109000101	37.5381	279.779	20.026	77.9336	15.2581	0.445947	5.12839	0.07360	0.00923	0.00109	0.00013
201472950	0109000101	5.5584	278.229	19.7148	66.1493	10.3627	0.161917	7.67487	0.16270	0.02283	0.00280	0.00034
201472952	0109000101	2.0142	279.0136	19.27	86.1586	24.5308	0	1.2958	0.17175	0.02209	0.00245	0.00027
201472953	0109000101	0.8136	277.5644	19.2734	78.6364	21.1283	0	10.0664	0.15244	0.01999	0.00231	0.00026
201472955	0109000101	7.1478	281.4283	19.5957	74.7289	8.97759	0.314782	4.02921	0.19445	0.02701	0.00318	0.00037
201472956	0109000101	0.9783	279.0505	18.9999	94.2953	39.0984	0	2.66789	0.13026	0.01546	0.00164	0.00017
201472971	0109000101	36.6813	281.8563	20.2401	72.4019	15.4894	0.345953	4.34036	0.06557	0.00837	0.00101	0.00012
201472979	0109000101	1.7838	282.27	19.1604	91.1672	27.1948	0	0	0.18367	0.02335	0.00253	0.00027
201473000	0109000101	1.2339	282.5708	19.2826	84.3552	14.7338	0.364697	2.11524	0.22444	0.03079	0.00347	0.00038
201473012	0107000614	14.2398	280.2054	20.4065	52.5686	10.378	1.30198	8.23537	0.44845	0.05924	0.00485	0.00038
201473013	0107000614	12682.8	301.1125		69.8572	8.61842	0.91297	4.42397				
201473014	0107000614	12652.5	301.1588		69.9132	8.61061	0.913166	4.40662				
201473015	0107000614	12656.5	301.1529		69.9022	8.60922	0.913174	4.40877				
201473016	0109000101	1.0593	274.2968	21.6496	0	0	0	0	0.14531	0.02715	0.00456	0.00075
201473020	0109000101	0.9801	278.9343	19.422	80.1242	9.36639	0	0	0.25504	0.03677	0.00424	0.00047
201473028	0107000614	12543	301.3294		70.0392	8.6137	0.896153	4.40814				
201473031	0107000614	1.125	279.6592	20.7671	35.0746	0.08	0.16	4.32	0.62346	0.12104	0.01132	0.00095
201473041	0107000614	1.5102	278.4585	20.1092	53.1469	5.06555	0.536353	7.9857	0.67610	0.13795	0.01212	0.00094
201473042	0107000614	1.9674	278.9398	20.1053	58.5635	14.7301	0	1.82983	0.68148	0.13712	0.01166	0.00088
